DRIVER,LONG,LAT,DAY,DAY_CORRIGIDO,03:00:00,TRIP,ID,PR,H,M,S,TIME_ACUM,SPD_MPH,SPD_KMH,ACEL_MS2,HEADING,ALTITUDE_FT,VALID_TIME,TIMESTAMP_GPS,CPOOL,CPOOLING_CHECK,WSB,UMP_YN,UMP,PICK_UP,ACTION,GPS_FILE,CIDADE,BAIRRO,NOME_RUA,HIERARQUIA_CWB,HIERARQUIA_CTB,LIMITE_VEL
A,-49.269366,-25.436129, ,21/09/2022,,trip,Atrip,13:40:49,,,0,0,0.04,0.0720,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269367,-25.436129, ,21/09/2022,,trip,Atrip,13:40:51,,,2,2,0.00,0.0000,-0.0100,,, , , , , , , , , , , , , , , , ,
A,-49.269368,-25.436129, ,21/09/2022,,trip,Atrip,13:40:52,,,1,3,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269369,-25.436129, ,21/09/2022,,trip,Atrip,13:40:53,,,1,4,0.11,0.1800,0.0500,,, , , , , , , , , , , , , , , , ,
A,-49.269370,-25.436129, ,21/09/2022,,trip,Atrip,13:40:54,,,1,5,0.02,0.0360,-0.0400,,, , , , , , , , , , , , , , , , ,
A,-49.269337,-25.436118, ,21/09/2022,,trip,Atrip,13:40:55,,,1,6,0.02,0.0360,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269316,-25.436110, ,21/09/2022,,trip,Atrip,13:40:56,,,1,7,0.04,0.0720,0.0100,,, , , , , , , , , , , , , , , , ,
A,-49.269306,-25.436104, ,21/09/2022,,trip,Atrip,13:40:57,,,1,8,0.09,0.1440,0.0200,,, , , , , , , , , , , , , , , , ,
A,-49.269298,-25.436097, ,21/09/2022,,trip,Atrip,13:40:58,,,1,9,0.36,0.5760,0.1200,,, , , , , , , , , , , , , , , , ,
A,-49.269293,-25.436090, ,21/09/2022,,trip,Atrip,13:40:59,,,1,10,0.45,0.7200,0.0400,,, , , , , , , , , , , , , , , , ,
A,-49.269290,-25.436085, ,21/09/2022,,trip,Atrip,13:41:00,,,1,11,0.56,0.9000,0.0500,,, , , , , , , , , , , , , , , , ,
A,-49.269299,-25.436087, ,21/09/2022,,trip,Atrip,13:41:01,,,1,12,0.00,0.0000,-0.2500,,, , , , , , , , , , , , , , , , ,
A,-49.269302,-25.436087, ,21/09/2022,,trip,Atrip,13:41:02,,,1,13,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269301,-25.436084, ,21/09/2022,,trip,Atrip,13:41:03,,,1,14,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269300,-25.436082, ,21/09/2022,,trip,Atrip,13:41:04,,,1,15,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269299,-25.436080, ,21/09/2022,,trip,Atrip,13:41:05,,,1,16,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269304,-25.436074, ,21/09/2022,,trip,Atrip,13:41:06,,,1,17,1.63,2.6280,0.7300,,, , , , , , , , , , , , , , , , ,
A,-49.269307,-25.436065, ,21/09/2022,,trip,Atrip,13:41:07,,,1,18,2.39,3.8520,0.3400,,, , , , , , , , , , , , , , , , ,
A,-49.269313,-25.436049, ,21/09/2022,,trip,Atrip,13:41:08,,,1,19,4.68,7.5240,1.0200,,, , , , , , , , , , , , , , , , ,
A,-49.269321,-25.436025, ,21/09/2022,,trip,Atrip,13:41:09,,,1,20,6.04,9.7200,0.6100,,, , , , , , , , , , , , , , , , ,
A,-49.269332,-25.435996, ,21/09/2022,,trip,Atrip,13:41:10,,,1,21,7.16,11.5200,0.5000,,, , , , , , , , , , , , , , , , ,
A,-49.269350,-25.435961, ,21/09/2022,,trip,Atrip,13:41:11,,,1,22,9.35,15.0480,0.9800,,, , , , , , , , , , , , , , , , ,
A,-49.269379,-25.435911, ,21/09/2022,,trip,Atrip,13:41:12,,,1,23,13.58,21.8520,1.8900,,, , , , , , , , , , , , , , , , ,
A,-49.269411,-25.435858, ,21/09/2022,,trip,Atrip,13:41:13,,,1,24,14.81,23.8320,0.5500,,, , , , , , , , , , , , , , , , ,
A,-49.269438,-25.435806, ,21/09/2022,,trip,Atrip,13:41:14,,,1,25,13.72,22.0680,-0.4900,,, , , , , , , , , , , , , , , , ,
A,-49.269461,-25.435756, ,21/09/2022,,trip,Atrip,13:41:15,,,1,26,13.00,20.9160,-0.3200,,, , , , , , , , , , , , , , , , ,
A,-49.269485,-25.435710, ,21/09/2022,,trip,Atrip,13:41:16,,,1,27,11.61,18.6840,-0.6200,,, , , , , , , , , , , , , , , , ,
A,-49.269507,-25.435673, ,21/09/2022,,trip,Atrip,13:41:17,,,1,28,9.37,15.0840,-1.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269522,-25.435640, ,21/09/2022,,trip,Atrip,13:41:18,,,1,29,8.19,13.1760,-0.5300,,, , , , , , , , , , , , , , , , ,
A,-49.269533,-25.435609, ,21/09/2022,,trip,Atrip,13:41:19,,,1,30,7.67,12.3480,-0.2300,,, , , , , , , , , , , , , , , , ,
A,-49.269548,-25.435581, ,21/09/2022,,trip,Atrip,13:41:20,,,1,31,7.03,11.3040,-0.2900,,, , , , , , , , , , , , , , , , ,
A,-49.269557,-25.435560, ,21/09/2022,,trip,Atrip,13:41:21,,,1,32,4.07,6.5520,-1.3200,,, , , , , , , , , , , , , , , , ,
A,-49.269558,-25.435550, ,21/09/2022,,trip,Atrip,13:41:22,,,1,33,1.19,1.9080,-1.2900,,, , , , , , , , , , , , , , , , ,
A,-49.269560,-25.435549, ,21/09/2022,,trip,Atrip,13:41:23,,,1,34,0.00,0.0000,-0.5300,,, , , , , , , , , , , , , , , , ,
A,-49.269561,-25.435548, ,21/09/2022,,trip,Atrip,13:41:24,,,1,35,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269560,-25.435547, ,21/09/2022,,trip,Atrip,13:41:25,,,1,36,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269559,-25.435547, ,21/09/2022,,trip,Atrip,13:41:26,,,1,37,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269556,-25.435546, ,21/09/2022,,trip,Atrip,13:41:27,,,1,38,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269554,-25.435546, ,21/09/2022,,trip,Atrip,13:41:28,,,1,39,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269551,-25.435545, ,21/09/2022,,trip,Atrip,13:41:29,,,1,40,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269549,-25.435545, ,21/09/2022,,trip,Atrip,13:41:30,,,1,41,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269549,-25.435544, ,21/09/2022,,trip,Atrip,13:41:31,,,1,42,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269549,-25.435544, ,21/09/2022,,trip,Atrip,13:41:32,,,1,43,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269551,-25.435544, ,21/09/2022,,trip,Atrip,13:41:33,,,1,44,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269552,-25.435543, ,21/09/2022,,trip,Atrip,13:41:34,,,1,45,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269553,-25.435542, ,21/09/2022,,trip,Atrip,13:41:35,,,1,46,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269556,-25.435542, ,21/09/2022,,trip,Atrip,13:41:36,,,1,47,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269559,-25.435541, ,21/09/2022,,trip,Atrip,13:41:37,,,1,48,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269562,-25.435541, ,21/09/2022,,trip,Atrip,13:41:38,,,1,49,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269565,-25.435540, ,21/09/2022,,trip,Atrip,13:41:39,,,1,50,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269569,-25.435539, ,21/09/2022,,trip,Atrip,13:41:40,,,1,51,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269573,-25.435539, ,21/09/2022,,trip,Atrip,13:41:41,,,1,52,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269577,-25.435538, ,21/09/2022,,trip,Atrip,13:41:42,,,1,53,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269580,-25.435538, ,21/09/2022,,trip,Atrip,13:41:43,,,1,54,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269583,-25.435537, ,21/09/2022,,trip,Atrip,13:41:44,,,1,55,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269590,-25.435537, ,21/09/2022,,trip,Atrip,13:41:45,,,1,56,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269595,-25.435538, ,21/09/2022,,trip,Atrip,13:41:46,,,1,57,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269601,-25.435538, ,21/09/2022,,trip,Atrip,13:41:47,,,1,58,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269606,-25.435537, ,21/09/2022,,trip,Atrip,13:41:48,,,1,59,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269610,-25.435537, ,21/09/2022,,trip,Atrip,13:41:49,,,1,60,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269613,-25.435536, ,21/09/2022,,trip,Atrip,13:41:50,,,1,61,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269616,-25.435536, ,21/09/2022,,trip,Atrip,13:41:51,,,1,62,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269619,-25.435535, ,21/09/2022,,trip,Atrip,13:41:52,,,1,63,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269621,-25.435534, ,21/09/2022,,trip,Atrip,13:41:53,,,1,64,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269622,-25.435532, ,21/09/2022,,trip,Atrip,13:41:54,,,1,65,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269623,-25.435531, ,21/09/2022,,trip,Atrip,13:41:55,,,1,66,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269624,-25.435530, ,21/09/2022,,trip,Atrip,13:41:56,,,1,67,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269626,-25.435529, ,21/09/2022,,trip,Atrip,13:41:57,,,1,68,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269628,-25.435528, ,21/09/2022,,trip,Atrip,13:41:58,,,1,69,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269629,-25.435528, ,21/09/2022,,trip,Atrip,13:41:59,,,1,70,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269630,-25.435527, ,21/09/2022,,trip,Atrip,13:42:00,,,1,71,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269633,-25.435526, ,21/09/2022,,trip,Atrip,13:42:01,,,1,72,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269635,-25.435526, ,21/09/2022,,trip,Atrip,13:42:02,,,1,73,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269637,-25.435525, ,21/09/2022,,trip,Atrip,13:42:03,,,1,74,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269639,-25.435524, ,21/09/2022,,trip,Atrip,13:42:04,,,1,75,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269642,-25.435524, ,21/09/2022,,trip,Atrip,13:42:05,,,1,76,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269645,-25.435523, ,21/09/2022,,trip,Atrip,13:42:06,,,1,77,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269647,-25.435523, ,21/09/2022,,trip,Atrip,13:42:07,,,1,78,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269649,-25.435523, ,21/09/2022,,trip,Atrip,13:42:08,,,1,79,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269652,-25.435523, ,21/09/2022,,trip,Atrip,13:42:09,,,1,80,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269655,-25.435523, ,21/09/2022,,trip,Atrip,13:42:10,,,1,81,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269657,-25.435522, ,21/09/2022,,trip,Atrip,13:42:11,,,1,82,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269659,-25.435522, ,21/09/2022,,trip,Atrip,13:42:12,,,1,83,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269661,-25.435522, ,21/09/2022,,trip,Atrip,13:42:13,,,1,84,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269663,-25.435521, ,21/09/2022,,trip,Atrip,13:42:14,,,1,85,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269666,-25.435521, ,21/09/2022,,trip,Atrip,13:42:15,,,1,86,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269668,-25.435521, ,21/09/2022,,trip,Atrip,13:42:16,,,1,87,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269670,-25.435521, ,21/09/2022,,trip,Atrip,13:42:17,,,1,88,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269672,-25.435520, ,21/09/2022,,trip,Atrip,13:42:18,,,1,89,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.269678,-25.435509, ,21/09/2022,,trip,Atrip,13:42:19,,,1,90,3.71,5.9760,1.6600,,, , , , , , , , , , , , , , , , ,
A,-49.269691,-25.435490, ,21/09/2022,,trip,Atrip,13:42:20,,,1,91,6.73,10.8360,1.3500,,, , , , , , , , , , , , , , , , ,
A,-49.269708,-25.435460, ,21/09/2022,,trip,Atrip,13:42:21,,,1,92,9.42,15.1560,1.2000,,, , , , , , , , , , , , , , , , ,
A,-49.269727,-25.435422, ,21/09/2022,,trip,Atrip,13:42:22,,,1,93,10.96,17.6400,0.6900,,, , , , , , , , , , , , , , , , ,
A,-49.269749,-25.435382, ,21/09/2022,,trip,Atrip,13:42:23,,,1,94,11.16,17.9640,0.0900,,, , , , , , , , , , , , , , , , ,
A,-49.269770,-25.435344, ,21/09/2022,,trip,Atrip,13:42:24,,,1,95,10.29,16.5600,-0.3900,,, , , , , , , , , , , , , , , , ,
A,-49.269789,-25.435305, ,21/09/2022,,trip,Atrip,13:42:25,,,1,96,10.22,16.4520,-0.0300,,, , , , , , , , , , , , , , , , ,
A,-49.269793,-25.435265, ,21/09/2022,,trip,Atrip,13:42:26,,,1,97,10.25,16.4880,0.0100,,, , , , , , , , , , , , , , , , ,
A,-49.269774,-25.435226, ,21/09/2022,,trip,Atrip,13:42:27,,,1,98,11.88,19.1160,0.7300,,, , , , , , , , , , , , , , , , ,
A,-49.269728,-25.435194, ,21/09/2022,,trip,Atrip,13:42:28,,,1,99,15.01,24.1560,1.4000,,, , , , , , , , , , , , , , , , ,
A,-49.269663,-25.435168, ,21/09/2022,,trip,Atrip,13:42:29,,,1,100,17.79,28.6200,1.2400,,, , , , , , , , , , , , , , , , ,
A,-49.269583,-25.435143, ,21/09/2022,,trip,Atrip,13:42:30,,,1,101,20.38,32.7960,1.1600,,, , , , , , , , , , , , , , , , ,
A,-49.269496,-25.435115, ,21/09/2022,,trip,Atrip,13:42:31,,,1,102,21.90,35.2440,0.6800,,, , , , , , , , , , , , , , , , ,
A,-49.269404,-25.435081, ,21/09/2022,,trip,Atrip,13:42:32,,,1,103,23.09,37.1520,0.5300,,, , , , , , , , , , , , , , , , ,
A,-49.269314,-25.435046, ,21/09/2022,,trip,Atrip,13:42:33,,,1,104,21.90,35.2440,-0.5300,,, , , , , , , , , , , , , , , , ,
A,-49.269228,-25.435013, ,21/09/2022,,trip,Atrip,13:42:34,,,1,105,20.76,33.4080,-0.5100,,, , , , , , , , , , , , , , , , ,
A,-49.269152,-25.434981, ,21/09/2022,,trip,Atrip,13:42:35,,,1,106,17.61,28.3320,-1.4100,,, , , , , , , , , , , , , , , , ,
A,-49.269091,-25.434955, ,21/09/2022,,trip,Atrip,13:42:36,,,1,107,13.85,22.2840,-1.6800,,, , , , , , , , , , , , , , , , ,
A,-49.269043,-25.434938, ,21/09/2022,,trip,Atrip,13:42:37,,,1,108,9.62,15.4800,-1.8900,,, , , , , , , , , , , , , , , , ,
A,-49.269012,-25.434930, ,21/09/2022,,trip,Atrip,13:42:38,,,1,109,5.06,8.1360,-2.0400,,, , , , , , , , , , , , , , , , ,
A,-49.269000,-25.434929, ,21/09/2022,,trip,Atrip,13:42:39,,,1,110,1.48,2.3760,-1.6000,,, , , , , , , , , , , , , , , , ,
A,-49.268998,-25.434929, ,21/09/2022,,trip,Atrip,13:42:40,,,1,111,0.00,0.0000,-0.6600,,, , , , , , , , , , , , , , , , ,
A,-49.268997,-25.434929, ,21/09/2022,,trip,Atrip,13:42:41,,,1,112,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268996,-25.434930, ,21/09/2022,,trip,Atrip,13:42:42,,,1,113,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268994,-25.434931, ,21/09/2022,,trip,Atrip,13:42:43,,,1,114,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268993,-25.434933, ,21/09/2022,,trip,Atrip,13:42:44,,,1,115,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268990,-25.434935, ,21/09/2022,,trip,Atrip,13:42:45,,,1,116,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268988,-25.434936, ,21/09/2022,,trip,Atrip,13:42:46,,,1,117,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268986,-25.434938, ,21/09/2022,,trip,Atrip,13:42:47,,,1,118,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268984,-25.434938, ,21/09/2022,,trip,Atrip,13:42:48,,,1,119,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268982,-25.434938, ,21/09/2022,,trip,Atrip,13:42:49,,,1,120,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268980,-25.434939, ,21/09/2022,,trip,Atrip,13:42:50,,,1,121,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268978,-25.434939, ,21/09/2022,,trip,Atrip,13:42:51,,,1,122,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268977,-25.434940, ,21/09/2022,,trip,Atrip,13:42:52,,,1,123,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268975,-25.434940, ,21/09/2022,,trip,Atrip,13:42:53,,,1,124,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268974,-25.434941, ,21/09/2022,,trip,Atrip,13:42:54,,,1,125,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268973,-25.434942, ,21/09/2022,,trip,Atrip,13:42:55,,,1,126,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268973,-25.434943, ,21/09/2022,,trip,Atrip,13:42:56,,,1,127,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268973,-25.434944, ,21/09/2022,,trip,Atrip,13:42:57,,,1,128,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268973,-25.434945, ,21/09/2022,,trip,Atrip,13:42:58,,,1,129,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268973,-25.434946, ,21/09/2022,,trip,Atrip,13:42:59,,,1,130,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268974,-25.434947, ,21/09/2022,,trip,Atrip,13:43:00,,,1,131,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268973,-25.434947, ,21/09/2022,,trip,Atrip,13:43:01,,,1,132,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268974,-25.434947, ,21/09/2022,,trip,Atrip,13:43:02,,,1,133,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268974,-25.434946, ,21/09/2022,,trip,Atrip,13:43:03,,,1,134,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268974,-25.434946, ,21/09/2022,,trip,Atrip,13:43:04,,,1,135,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268973,-25.434946, ,21/09/2022,,trip,Atrip,13:43:05,,,1,136,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268973,-25.434945, ,21/09/2022,,trip,Atrip,13:43:06,,,1,137,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268973,-25.434945, ,21/09/2022,,trip,Atrip,13:43:07,,,1,138,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268972,-25.434945, ,21/09/2022,,trip,Atrip,13:43:08,,,1,139,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268971,-25.434945, ,21/09/2022,,trip,Atrip,13:43:09,,,1,140,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268971,-25.434945, ,21/09/2022,,trip,Atrip,13:43:10,,,1,141,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268970,-25.434945, ,21/09/2022,,trip,Atrip,13:43:11,,,1,142,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268970,-25.434946, ,21/09/2022,,trip,Atrip,13:43:12,,,1,143,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268969,-25.434946, ,21/09/2022,,trip,Atrip,13:43:13,,,1,144,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268968,-25.434946, ,21/09/2022,,trip,Atrip,13:43:14,,,1,145,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268968,-25.434946, ,21/09/2022,,trip,Atrip,13:43:15,,,1,146,0.00,0.0000,0.0000,,, , , , , , , , , , , , , , , , ,
A,-49.268961,-25.434943, ,21/09/2022,,trip,Atrip,13:43:16,,,1,147,1.95,3.1320,0.8700,,, , , , , , , , , , , , , , , , ,
A,-49.268947,-25.434937, ,21/09/2022,,trip,Atrip,13:43:17,,,1,148,4.68,7.5240,1.2200,,, , , , , , , , , , , , , , , , ,
A,-49.268922,-25.434924, ,21/09/2022,,trip,Atrip,13:43:18,,,1,149,8.21,13.2120,1.5800,,, , , , , , , , , , , , , , , , ,
